Date,Value
04/01/21,10000.0
04/02/21,10000.0
04/03/21,9671.345477225119
04/04/21,9865.869201201283
04/05/21,10020.575015761751
04/06/21,9833.010189208795
04/07/21,9479.562263997452
04/08/21,9846.28056593157
04/09/21,9848.477042078788
04/10/21,10129.37007233457
04/11/21,10165.356012175529
04/12/21,10140.340589387768
04/13/21,10772.983343389218
04/14/21,10674.957121260397
04/15/21,10717.852808981148
04/16/21,10412.286707929685
04/17/21,10174.343599373598
04/18/21,9538.502735426313
04/19/21,9439.17828742653
04/20/21,9302.129022635907
04/21/21,9759.211302361213
04/22/21,10118.89952477476
04/23/21,10204.877329518877
04/24/21,10384.139272857927
04/25/21,10552.01208061881
04/26/21,9713.931014378784
04/27/21,9541.402558487958
04/28/21,9573.505684398919
04/29/21,9795.187073331119
04/30/21,9086.535397840133
05/01/21,9073.546359883127
05/02/21,9281.88110555966
05/03/21,9180.24154458372
05/04/21,9855.713888644084
05/05/21,9131.505535255475
05/06/21,9311.586072714208
05/07/21,9153.233023069779
05/08/21,9153.233023069779
05/09/21,9047.786897223586
05/10/21,9424.023068930563
05/11/21,9287.002539137522
05/12/21,10431.784562691219
05/13/21,10383.92715778038
05/14/21,10355.145987583188
05/15/21,10847.304463494109
05/16/21,10888.293616973842
05/17/21,11330.766671664422
05/18/21,11441.819438364793
05/19/21,12387.999438724612
05/20/21,11788.93304463851
05/21/21,12301.916629949674
05/22/21,12276.25301897641
05/23/21,12709.786173871551
05/24/21,12068.417806443376
05/25/21,12137.02893811419
05/26/21,11995.529923542526
05/27/21,12120.618689834937
05/28/21,12556.830245536697
05/29/21,12721.379645729166
05/30/21,12559.117593618364
05/31/21,12300.946757119931
06/01/21,12401.520241869493
06/02/21,12262.469962218365
06/03/21,12009.446434801945
06/04/21,12371.412285641214
06/05/21,12581.708647467003
06/06/21,12538.768885752092
06/07/21,12884.23448411351
06/08/21,12910.759342159585
06/09/21,12291.854781264788
06/10/21,12399.310483614207
06/11/21,12300.993311015758
06/12/21,12580.060639554702
06/13/21,12041.432064828605
06/14/21,11805.709516898272
06/15/21,11861.779029033114
06/16/21,12143.814944329337
06/17/21,12183.589041127967
06/18/21,12533.93503956865
06/19/21,12585.600553158196
06/20/21,12572.765644078509
06/21/21,13186.59583032809
06/22/21,13045.211648699467
06/23/21,12873.424669502325
06/24/21,12718.704348515603
06/25/21,13192.245921485042
06/26/21,13088.02261130259
06/27/21,12710.917433540162
06/28/21,12743.876039989624
06/29/21,12523.39368575674
06/30/21,12658.508609413904
07/01/21,12887.0913415208
07/02/21,12848.70765441089
07/03/21,12712.655445651062
07/04/21,12619.406440511719
07/05/21,12865.366190134557
07/06/21,12781.587799203087
07/07/21,12837.703865233756
07/08/21,12990.350986059619
07/09/21,12846.400132974364
07/10/21,12894.324265135892
07/11/21,12779.34700501725
07/12/21,12958.351389864209
07/13/21,13016.854118954308
07/14/21,13002.026703133197
07/15/21,13153.311346607836
07/16/21,13224.768473110249
07/17/21,13202.809000448338
07/18/21,13164.484281606476
07/19/21,13311.495277444135
07/20/21,13473.302653172355
07/21/21,13108.34028323831
07/22/21,13083.134452240685
07/23/21,12868.475990375844
07/24/21,12772.635485035427
07/25/21,12597.825606202541
07/26/21,12597.825606202541
07/27/21,13335.687708784795
07/28/21,13525.175812714164
07/29/21,13525.57782167046
07/30/21,14267.90256149025
07/31/21,14016.30576292642
08/01/21,13458.516646952557
08/02/21,13231.009981727773
08/03/21,12897.079046333318
08/04/21,13425.450565740586
08/05/21,13815.145886358376
08/06/21,14477.926904455946
08/07/21,15071.26171991003
08/08/21,14816.367772259267
08/09/21,15638.786884724605
08/10/21,15407.989826865936
08/11/21,15384.392914599322
08/12/21,15014.341981215657
08/13/21,16168.388078586426
08/14/21,15918.112166593284
08/15/21,15887.225041488968
08/16/21,15516.366711966188
08/17/21,15098.763862037802
08/18/21,15107.810752667721
08/19/21,15798.039861268693
08/20/21,16673.574829362948
08/21/21,16514.237397155768
08/22/21,16655.28511096474
08/23/21,16742.953467475967
08/24/21,16124.724500770251
08/25/21,16557.279381291624
08/26/21,15829.116167058326
08/27/21,16587.25776346112
08/28/21,16531.473108878643
08/29/21,16488.6912481851
08/30/21,15878.826770351558
08/31/21,15930.395398232711
09/01/21,16503.81556833079
09/02/21,16646.140251765642
09/03/21,16899.59169669087
09/04/21,16871.930777916492
09/05/21,17502.348385918976
09/06/21,17806.02392456901
09/07/21,15832.673439587566
09/08/21,15570.90142273497
09/09/21,15672.542124147369
09/10/21,15153.839089050343
09/11/21,15261.699105492502
09/12/21,15551.665800910188
09/13/21,15193.350826469145
09/14/21,15912.521201696898
09/15/21,16266.478263922634
09/16/21,16134.626082710614
09/17/21,15980.761377471503
09/18/21,16325.867486205678
09/19/21,15960.515665916195
09/20/21,14538.53228828745
09/21/21,13714.430819013412
09/22/21,14725.530639269005
09/23/21,15169.419469776705
09/24/21,15863.64502035497
09/25/21,15906.31539957324
09/26/21,15743.3024569085
09/27/21,16086.165423231076
09/28/21,16471.556883257934
09/29/21,16304.706275262502
09/30/21,15530.575532724006
10/01/21,15530.575532724006
