Date,Value
04/01/21,10000.0
04/02/21,10000.0
04/03/21,9671.345477225119
04/04/21,9865.869201201283
04/05/21,10020.575015761751
04/06/21,9833.010189208795
04/07/21,9479.562263997452
04/08/21,9846.28056593157
04/09/21,9848.477042078788
04/10/21,10129.37007233457
04/11/21,10165.356012175529
04/12/21,10140.340589387768
04/13/21,10772.983343389218
04/14/21,10674.957121260397
04/15/21,10717.852808981148
04/16/21,10412.286707929685
04/17/21,10174.343599373598
04/18/21,9538.502735426313
04/19/21,9439.17828742653
04/20/21,9576.227552217153
04/21/21,10033.309831942459
04/22/21,10392.998054356007
04/23/21,10478.975859100123
04/24/21,10658.237802439173
04/25/21,10826.110610200056
04/26/21,9988.02954396003
04/27/21,9815.501088069203
04/28/21,9815.501088069203
04/29/21,9581.653824971092
04/30/21,10329.196302946722
05/01/21,10342.898179279935
05/02/21,10562.666335368123
05/03/21,10455.448795496131
05/04/21,11167.991060400878
05/05/21,10404.038154076796
05/06/21,10404.038154076796
05/07/21,10576.249996092523
05/08/21,10871.7088515285
05/09/21,10746.465718655983
05/10/21,10299.59300079742
05/11/21,10462.338481310988
05/12/21,9102.629094783708
05/13/21,9045.78669043663
05/14/21,9011.601992854743
05/15/21,9596.160874446627
05/16/21,9644.845545925995
05/17/21,10170.390805520963
05/18/21,10302.293199317799
05/19/21,11426.113980360386
05/20/21,10714.57572903169
05/21/21,11323.86953495359
05/22/21,11293.387703465523
05/23/21,11808.314639732233
05/24/21,11046.53242139636
05/25/21,11128.024965683057
05/26/21,10959.960186241291
05/27/21,11108.533771585444
05/28/21,11626.641965631112
05/29/21,11822.084730616702
05/30/21,11629.358752401786
05/31/21,11322.717573127491
06/01/21,11442.17324978568
06/02/21,11277.016943562452
06/03/21,10976.489456091635
06/04/21,11406.412668425692
06/05/21,11656.191168824767
06/06/21,11605.189671720746
06/07/21,12015.514787899729
06/08/21,12047.019561489375
06/09/21,11311.918622184898
06/10/21,11439.548619961095
06/11/21,11322.772867295143
06/12/21,11654.233755289859
06/13/21,11014.480235546951
06/14/21,10734.501903914837
06/15/21,10801.098199435872
06/16/21,11136.085012187914
06/17/21,11183.326505891546
06/18/21,11599.448293979463
06/19/21,11660.813761240543
06/20/21,11645.569159218665
06/21/21,12374.643034248986
06/22/21,12206.714647087429
06/23/21,12002.675482170751
06/24/21,11818.907159115588
06/25/21,12381.353903063113
06/26/21,12257.563163660943
06/27/21,11809.658288006196
06/28/21,11848.804715565457
06/29/21,11586.927851283948
06/30/21,11747.409957201595
07/01/21,12018.90800665469
07/02/21,11973.317965424956
07/03/21,11811.722603598566
07/04/21,11700.966542651084
07/05/21,11993.10406175005
07/06/21,11893.59667764207
07/07/21,11960.248267330755
07/08/21,12141.554156786446
07/09/21,11970.577217848298
07/10/21,12027.498877169013
07/11/21,11890.935185039049
07/12/21,12103.546789080832
07/13/21,12173.033126431186
07/14/21,12155.42193403377
07/15/21,12335.109547516153
07/16/21,12419.98240858536
07/17/21,12393.900149703535
07/18/21,12348.380147752827
07/19/21,12522.991756644684
07/20/21,12715.177695155524
07/21/21,12281.695381563548
07/22/21,12251.7572760574
07/23/21,11996.797712149259
07/24/21,11882.963609202436
07/25/21,11675.334009666167
07/26/21,11675.334009666167
07/27/21,12359.16523340377
07/28/21,12534.777833021315
07/29/21,12535.150404367067
07/30/21,13223.11748312766
07/31/21,12989.944176017492
08/01/21,12472.999868362931
08/02/21,12262.152664332985
08/03/21,11952.67424093181
08/04/21,12442.355092462047
08/05/21,12803.514483966603
08/06/21,13417.762529894928
08/07/21,13967.649658557779
08/08/21,13731.420640242128
08/09/21,14493.617080653119
08/10/21,14279.72042712098
08/11/21,14257.851428380924
08/12/21,13914.897939191818
08/13/21,14984.437562182122
08/14/21,14752.488418065133
08/15/21,14723.86304147525
08/16/21,14380.161278742999
08/17/21,13993.13792179941
08/18/21,14001.522342504619
08/19/21,14641.20855804826
08/20/21,15452.631378872984
08/21/21,15304.961630186719
08/22/21,15435.680948067162
08/23/21,15516.929679105564
08/24/21,14943.971304670991
08/25/21,15344.851810995176
08/26/21,14670.009262330263
08/27/21,15372.634988492568
08/28/21,15320.935235279316
08/29/21,15281.28613004752
08/30/21,14716.079744285875
08/31/21,14763.872194646212
09/01/21,15295.302952862014
09/02/21,15427.20573266425
09/03/21,15662.097877327502
09/04/21,15636.462464058557
09/05/21,16220.716951228149
09/06/21,16502.155467297045
09/07/21,14673.306049112407
09/08/21,14430.702616847615
09/09/21,14524.900550289576
09/10/21,14044.18019616722
09/11/21,14144.14202748756
09/12/21,14412.875547581203
09/13/21,14080.798637006694
09/14/21,14747.306858592721
09/15/21,15075.34497054523
09/16/21,14953.147830842374
09/17/21,14810.550061820948
09/18/21,15130.385342463655
09/19/21,14791.786867912693
09/20/21,13473.930008405541
09/21/21,12710.17440387536
09/22/21,13647.235170360753
09/23/21,14058.619683953786
09/24/21,13415.229670914156
09/25/21,13454.775458041666
09/26/21,13303.699342765683
09/27/21,13303.699342765683
09/28/21,12943.968089005108
09/29/21,12943.968089005108
09/30/21,13657.964733317322
10/01/21,13657.964733317322
